INFO:     Will watch for changes in these directories: ['C:\\Users\\Administrator\\Documents\\git-rep\\ModularFinal\\kms-aichatbot-repository\\KMSChatbotProjAgenticAI']                                                
INFO:     Uvicorn running on http://0.0.0.0:8001 (Press CTRL+C to quit)                                     
INFO:     Started reloader process [9676] using WatchFiles                                                  
INFO:     Started server process [10288]                                                        
INFO:     Waiting for application startup.
INFO:     Application startup complete.
2026-08-18 18:38:53 | INFO     | app.api.routes.chat | [c5a0a17d] Received question: 'when obtaining the COA/COC for a transfer, is there more than one way to source it?'
2026-08-18 18:38:53 | INFO     | app.graph.nodes.rag_nodes | [c5a0a17d] [retrieve_node] Question received: when obtaining the COA/COC for a transfer, is there more than one way to source it?
2026-08-18 18:38:55 | INFO     | botocore.credentials | Found credentials from IAM Role: CUSPFE-S3ListPolicyKMSRole
2026-08-18 18:38:55 | INFO     | app.vectordb.opensearch_client | [opensearch_client] Calling AWS as identity: Account=892880329963 Arn=arn:aws:sts::892880329963:assumed-role/CUSPFE-S3ListPolicyKMSRole/i-06d7279ee5a63fa0b
2026-08-18 18:38:55 | INFO     | app.vectordb.opensearch_client | [opensearch_client] Connection settings: HOST=mc9xamsc1uiy9cxgnwt9.aoss.ap-southeast-1.on.aws PORT=443 INDEX=kms-index-sop-oz SERVICE=aoss REGION=ap-southeast-1
2026-08-18 18:38:55 | INFO     | app.vectordb.opensearch_client | [c5a0a17d] [opensearch_client] Searching index: 'kms-index-sop-oz'
2026-08-18 18:38:55 | INFO     | app.vectordb.opensearch_client | [c5a0a17d] [opensearch_client] Hybrid query: knn on field 'embedding' (k=10, vector length=1024) + match on field 'content' (boost=1.0) for question='when obtaining the COA/COC for a transfer, is there more than one way to source it?'
2026-08-18 18:38:55 | INFO     | opensearch | POST https://mc9xamsc1uiy9cxgnwt9.aoss.ap-southeast-1.on.aws:443/kms-index-sop-oz/_search [status:200 request:0.233s]
2026-08-18 18:38:55 | INFO     | app.vectordb.opensearch_client | [c5a0a17d] [opensearch_client] Top score in candidate pool: 11.6569 (use this to calibrate config.MIN_ABSOLUTE_SCORE - NOTE: this is a raw, unbounded score again, not the 0-1 normalized score from the brief normalized-hybrid-search experiment, so any MIN_ABSOLUTE_SCORE value calibrated against that 0-1 scale is no longer valid)
2026-08-18 18:38:55 | INFO     | app.vectordb.opensearch_client | [c5a0a17d] [opensearch_client] DIAGNOSTIC - top-level keys actually present on this document: ['document_name', 'metadata', 'section', 'page', 'document_id', 'chunk_id', 'chunk_type', 'content']
2026-08-18 18:38:55 | INFO     | app.vectordb.opensearch_client | [c5a0a17d] [opensearch_client] Hybrid search returned 5 relevant chunk(s) (of 10 candidate(s) fetched)
2026-08-18 18:38:55 | INFO     | app.graph.nodes.rag_nodes | [c5a0a17d] [retrieve_node] Retrieved 5 chunk(s) from OpenSearch
2026-08-18 18:38:55 | INFO     | app.graph.nodes.rag_nodes | [c5a0a17d] [retrieve_node]     1. document='WI - How to manage shipment in SAP FLEX ZPMON' page=10 section='4.2. And select the Daily Check' - 'Column name Meaning How to use it? TXN No. Number of the transaction N/A Run No. Run number of a transaction (if there a'
2026-08-18 18:38:55 | INFO     | app.graph.nodes.rag_nodes | [c5a0a17d] [retrieve_node]     2. document='SOP - Logistic Center End-to-End Order Processing' page=10 section='4.4. Business Process Types' - 'intermediate warehouse in which stock is held under Pfizer ownership, however the facility is owned by a third party. Sa'
2026-08-18 18:38:55 | INFO     | app.graph.nodes.rag_nodes | [c5a0a17d] [retrieve_node]     3. document='WI - Cross Dock and Stock  in – Stock out  transactions  managed by  Customer Service at  Logistics Center Panama' page=11 section='5. Procedure' - 'contact (export analyst). This form should be attached to the cargo all the time. All shipments need a Certificate of An'
2026-08-18 18:38:55 | INFO     | app.graph.nodes.rag_nodes | [c5a0a17d] [retrieve_node]     4. document='SOP - Logistic Center End-to-End Order Processing' page=10 section='4.4. Business Process Types' - '[TABLE START] +-------------------+-------------------------------------------------------------------------------------'
2026-08-18 18:38:55 | INFO     | app.graph.nodes.rag_nodes | [c5a0a17d] [retrieve_node]     5. document='SOP - Order processing of in-stock-out (ISO) orders shipped from Logistics Service Provider (LSP) Essers (Belgium) and UPS (Hungary)' page=12 section='4.7.1. LSP pre-expedition zone (Essers)' - 'Once goods are packed and prepared for onward shipment, they are stored in a designated area known as the pre-expedition'
2026-08-18 18:38:55 | INFO     | app.graph.nodes.rag_nodes | [c5a0a17d] [detect_conflict_node] Checking for a genuine conflict...
2026-08-18 18:38:57 | INFO     | app.llm.bedrock_client | [c5a0a17d] [bedrock_client] Claude call took 2.12s, stop_reason='end_turn'
2026-08-18 18:38:57 | INFO     | app.llm.bedrock_client | [c5a0a17d] [bedrock_client] conflict_detected=False
2026-08-18 18:38:57 | INFO     | app.graph.nodes.rag_nodes | [c5a0a17d] [generate_single_node] Generating single answer...
